Pipe from 0 to 1 	 read: 5 write: 6 is created!
Pipe from 0 to 2 	 read: 7 write: 8 is created!
Pipe from 0 to 3 	 read: 9 write: 10 is created!
Pipe from 0 to 4 	 read: 11 write: 12 is created!
Pipe from 0 to 5 	 read: 13 write: 14 is created!
Pipe from 0 to 6 	 read: 15 write: 16 is created!
Pipe from 0 to 7 	 read: 17 write: 18 is created!
Pipe from 0 to 8 	 read: 19 write: 20 is created!
Pipe from 0 to 9 	 read: 21 write: 22 is created!
Pipe from 1 to 0 	 read: 23 write: 24 is created!
Pipe from 1 to 2 	 read: 25 write: 26 is created!
Pipe from 1 to 3 	 read: 27 write: 28 is created!
Pipe from 1 to 4 	 read: 30 write: 31 is created!
Pipe from 1 to 5 	 read: 32 write: 33 is created!
Pipe from 1 to 6 	 read: 34 write: 35 is created!
Pipe from 1 to 7 	 read: 36 write: 37 is created!
Pipe from 1 to 8 	 read: 38 write: 39 is created!
Pipe from 1 to 9 	 read: 40 write: 41 is created!
Pipe from 2 to 0 	 read: 42 write: 44 is created!
Pipe from 2 to 1 	 read: 46 write: 47 is created!
Pipe from 2 to 3 	 read: 48 write: 49 is created!
Pipe from 2 to 4 	 read: 50 write: 51 is created!
Pipe from 2 to 5 	 read: 52 write: 53 is created!
Pipe from 2 to 6 	 read: 54 write: 55 is created!
Pipe from 2 to 7 	 read: 56 write: 57 is created!
Pipe from 2 to 8 	 read: 58 write: 59 is created!
Pipe from 2 to 9 	 read: 60 write: 61 is created!
Pipe from 3 to 0 	 read: 62 write: 63 is created!
Pipe from 3 to 1 	 read: 64 write: 65 is created!
Pipe from 3 to 2 	 read: 66 write: 67 is created!
Pipe from 3 to 4 	 read: 68 write: 69 is created!
Pipe from 3 to 5 	 read: 70 write: 71 is created!
Pipe from 3 to 6 	 read: 72 write: 73 is created!
Pipe from 3 to 7 	 read: 74 write: 75 is created!
Pipe from 3 to 8 	 read: 76 write: 77 is created!
Pipe from 3 to 9 	 read: 78 write: 79 is created!
Pipe from 4 to 0 	 read: 80 write: 81 is created!
Pipe from 4 to 1 	 read: 82 write: 83 is created!
Pipe from 4 to 2 	 read: 84 write: 85 is created!
Pipe from 4 to 3 	 read: 86 write: 87 is created!
Pipe from 4 to 5 	 read: 88 write: 89 is created!
Pipe from 4 to 6 	 read: 90 write: 91 is created!
Pipe from 4 to 7 	 read: 92 write: 93 is created!
Pipe from 4 to 8 	 read: 94 write: 95 is created!
Pipe from 4 to 9 	 read: 96 write: 97 is created!
Pipe from 5 to 0 	 read: 98 write: 99 is created!
Pipe from 5 to 1 	 read: 100 write: 101 is created!
Pipe from 5 to 2 	 read: 102 write: 104 is created!
Pipe from 5 to 3 	 read: 105 write: 106 is created!
Pipe from 5 to 4 	 read: 107 write: 108 is created!
Pipe from 5 to 6 	 read: 109 write: 110 is created!
Pipe from 5 to 7 	 read: 111 write: 112 is created!
Pipe from 5 to 8 	 read: 113 write: 114 is created!
Pipe from 5 to 9 	 read: 115 write: 116 is created!
Pipe from 6 to 0 	 read: 117 write: 118 is created!
Pipe from 6 to 1 	 read: 119 write: 120 is created!
Pipe from 6 to 2 	 read: 121 write: 122 is created!
Pipe from 6 to 3 	 read: 123 write: 124 is created!
Pipe from 6 to 4 	 read: 125 write: 126 is created!
Pipe from 6 to 5 	 read: 127 write: 128 is created!
Pipe from 6 to 7 	 read: 129 write: 130 is created!
Pipe from 6 to 8 	 read: 131 write: 132 is created!
Pipe from 6 to 9 	 read: 133 write: 134 is created!
Pipe from 7 to 0 	 read: 135 write: 136 is created!
Pipe from 7 to 1 	 read: 137 write: 138 is created!
Pipe from 7 to 2 	 read: 139 write: 140 is created!
Pipe from 7 to 3 	 read: 141 write: 142 is created!
Pipe from 7 to 4 	 read: 143 write: 144 is created!
Pipe from 7 to 5 	 read: 145 write: 146 is created!
Pipe from 7 to 6 	 read: 147 write: 148 is created!
Pipe from 7 to 8 	 read: 149 write: 150 is created!
Pipe from 7 to 9 	 read: 151 write: 152 is created!
Pipe from 8 to 0 	 read: 153 write: 154 is created!
Pipe from 8 to 1 	 read: 155 write: 156 is created!
Pipe from 8 to 2 	 read: 157 write: 158 is created!
Pipe from 8 to 3 	 read: 159 write: 160 is created!
Pipe from 8 to 4 	 read: 161 write: 162 is created!
Pipe from 8 to 5 	 read: 163 write: 164 is created!
Pipe from 8 to 6 	 read: 165 write: 166 is created!
Pipe from 8 to 7 	 read: 167 write: 168 is created!
Pipe from 8 to 9 	 read: 169 write: 170 is created!
Pipe from 9 to 0 	 read: 171 write: 172 is created!
Pipe from 9 to 1 	 read: 173 write: 174 is created!
Pipe from 9 to 2 	 read: 175 write: 176 is created!
Pipe from 9 to 3 	 read: 177 write: 178 is created!
Pipe from 9 to 4 	 read: 179 write: 180 is created!
Pipe from 9 to 5 	 read: 181 write: 182 is created!
Pipe from 9 to 6 	 read: 183 write: 184 is created!
Pipe from 9 to 7 	 read: 185 write: 186 is created!
Pipe from 9 to 8 	 read: 187 write: 188 is created!
Close not usable PIPE BY PROC: 1 	 from 0 to 2
Close not usable PIPE BY PROC: 1 	 from 0 to 3
Close not usable PIPE BY PROC: 1 	 from 0 to 4
Close not usable PIPE BY PROC: 1 	 from 0 to 5
Close not usable PIPE BY PROC: 1 	 from 0 to 6
Close not usable PIPE BY PROC: 1 	 from 0 to 7
Close not usable PIPE BY PROC: 1 	 from 0 to 8
Close not usable PIPE BY PROC: 1 	 from 0 to 9
Close not usable PIPE BY PROC: 1 	 from 2 to 0
Close not usable PIPE BY PROC: 1 	 from 2 to 3
Close not usable PIPE BY PROC: 1 	 from 2 to 4
Close not usable PIPE BY PROC: 1 	 from 2 to 5
Close not usable PIPE BY PROC: 1 	 from 2 to 6
Close not usable PIPE BY PROC: 1 	 from 2 to 7
Close not usable PIPE BY PROC: 1 	 from 2 to 8
Close not usable PIPE BY PROC: 1 	 from 2 to 9
Close not usable PIPE BY PROC: 1 	 from 3 to 0
Close not usable PIPE BY PROC: 1 	 from 3 to 2
Close not usable PIPE BY PROC: 1 	 from 3 to 4
Close not usable PIPE BY PROC: 1 	 from 3 to 5
Close not usable PIPE BY PROC: 1 	 from 3 to 6
Close not usable PIPE BY PROC: 1 	 from 3 to 7
Close not usable PIPE BY PROC: 1 	 from 3 to 8
Close not usable PIPE BY PROC: 1 	 from 3 to 9
Close not usable PIPE BY PROC: 1 	 from 4 to 0
Close not usable PIPE BY PROC: 1 	 from 4 to 2
Close not usable PIPE BY PROC: 1 	 from 4 to 3
Close not usable PIPE BY PROC: 1 	 from 4 to 5
Close not usable PIPE BY PROC: 1 	 from 4 to 6
Close not usable PIPE BY PROC: 1 	 from 4 to 7
Close not usable PIPE BY PROC: 1 	 from 4 to 8
Close not usable PIPE BY PROC: 1 	 from 4 to 9
Close not usable PIPE BY PROC: 1 	 from 5 to 0
Close not usable PIPE BY PROC: 1 	 from 5 to 2
Close not usable PIPE BY PROC: 1 	 from 5 to 3
Close not usable PIPE BY PROC: 1 	 from 5 to 4
Close not usable PIPE BY PROC: 1 	 from 5 to 6
Close not usable PIPE BY PROC: 1 	 from 5 to 7
Close not usable PIPE BY PROC: 1 	 from 5 to 8
Close not usable PIPE BY PROC: 1 	 from 5 to 9
Close not usable PIPE BY PROC: 2 	 from 0 to 1
Close not usable PIPE BY PROC: 1 	 from 6 to 0
Close not usable PIPE BY PROC: 2 	 from 0 to 3
Close not usable PIPE BY PROC: 1 	 from 6 to 2
Close not usable PIPE BY PROC: 2 	 from 0 to 4
Close not usable PIPE BY PROC: 1 	 from 6 to 3
Close not usable PIPE BY PROC: 2 	 from 0 to 5
Close not usable PIPE BY PROC: 1 	 from 6 to 4
Close not usable PIPE BY PROC: 2 	 from 0 to 6
Close not usable PIPE BY PROC: 1 	 from 6 to 5
Close not usable PIPE BY PROC: 2 	 from 0 to 7
Close not usable PIPE BY PROC: 1 	 from 6 to 7
Close not usable PIPE BY PROC: 2 	 from 0 to 8
Close not usable PIPE BY PROC: 1 	 from 6 to 8
Close not usable PIPE BY PROC: 2 	 from 0 to 9
Close not usable PIPE BY PROC: 1 	 from 6 to 9
Close not usable PIPE BY PROC: 2 	 from 1 to 0
Close not usable PIPE BY PROC: 1 	 from 7 to 0
Close not usable PIPE BY PROC: 2 	 from 1 to 3
Close not usable PIPE BY PROC: 1 	 from 7 to 2
